"","tconst","name","nconst","category","deathYear","knownForTitles","oscar_no","oscar_yr","award","movie","birth_pl","birth_y","titleType","primaryTitle","startYear","genres"
"11","tt0000902","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","His Wife's Visitor","1909","Comedy,Short"
"12","tt0000910","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","In the Watches of the Night","1909","Drama,Short"
"13","tt0000912","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Indian Runner's Romance","1909","Short,Western"
"14","tt0000935","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Light That Came","1909","Drama,Short"
"15","tt0000938","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Little Darling","1909","Comedy,Short"
"16","tt0000939","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Little Teacher","1909","Drama,Short"
"17","tt0000942","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Lonely Villa","1909","Crime,Drama,Short"
"18","tt0000962","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Mexican Sweethearts","1909","Short"
"19","tt0000964","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Midnight Adventure","1909","Short"
"20","tt0000972","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Mountaineer's Honor","1909","Drama,Short"
"21","tt0000981","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Necklace","1909","Drama,Short"
"22","tt0000989","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Oh, Uncle!","1909","Comedy,Short"
"23","tt0001014","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Renunciation","1909","Short,Western"
"24","tt0001015","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Restoration","1909","Drama,Short"
"25","tt0001033","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Seventh Day","1909","Drama,Short"
"26","tt0001044","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Son's Return","1909","Drama,Short"
"27","tt0001053","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Sweet Revenge","1909","Drama,Short"
"28","tt0001054","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Sweet and Twenty","1909","Romance,Short"
"29","tt0001058","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Tender Hearts","1909","Drama,Short"
"30","tt0001060","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Test","1909","Drama,Short"
"31","tt0001061","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","They Would Elope","1909","Comedy,Short"
"32","tt0001067","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","To Save Her Soul","1909","Drama,Short"
"33","tt0001074","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Trick That Failed","1909","Drama,Short"
"34","tt0001078","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Two Memories","1909","Drama,Short"
"35","tt0001083","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Violin Maker of Cremona","1909","Drama,Short"
"36","tt0001088","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Way of Man","1909","Drama,Short"
"37","tt0001092","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","What's Your Hurry?","1909","Short"
"38","tt0001107","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","All on Account of the Milk","1910","Comedy,Short"
"39","tt0001118","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","An Arcadian Maid","1910","Drama,Short"
"40","tt0001120","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","As It Is in Life","1910","Drama,Short"
"41","tt0001143","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Call to Arms","1910","Drama,Short"
"42","tt0001152","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Child's Impulse","1910","Drama,Short"
"43","tt0001200","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Englishman and the Girl","1910","Comedy,Short"
"44","tt0001235","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Gold Necklace","1910","Comedy,Short"
"45","tt0001249","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","His Last Dollar","1910","Comedy,Short"
"46","tt0001268","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","In the Season of Buds","1910","Drama,Short"
"47","tt0001292","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Love Among the Roses","1910","Romance,Short"
"48","tt0001298","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Lucky Toothache","1910","Comedy,Short"
"49","tt0001310","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","May and December","1910","Comedy,Romance,Short"
"50","tt0001332","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Muggsy Becomes a Hero","1910","Comedy,Short"
"51","tt0001333","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Muggsy's First Sweetheart","1910","Comedy,Short"
"52","tt0001334","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Never Again","1910","Comedy,Short"
"53","tt0001337","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Newlyweds","1910","Comedy,Short"
"54","tt0001362","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Plain Song","1910","Drama,Short"
"55","tt0001371","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Ramona","1910","Drama,Romance,Short"
"56","tt0001384","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Rich Revenge","1910","Comedy,Short"
"57","tt0001387","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Romance of the Western Hills","1910","Romance,Short,Western"
"58","tt0001396","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Simple Charity","1910","Drama,Short"
"59","tt0001399","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Smoker","1910","Comedy,Short"
"60","tt0001400","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Song of the Wildwood Flute","1910","Drama,Short"
"61","tt0001401","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Sorrows of the Unfaithful","1910","Drama,Short"
"62","tt0001416","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Thread of Destiny","1910","Romance,Short"
"63","tt0001427","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Twisted Trail","1910","Drama,Short"
"64","tt0001431","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Unchanging Sea","1910","Drama,Short"
"65","tt0001443","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Victim of Jealousy","1910","Drama,Short"
"66","tt0001445","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Waiter No. 5","1910","Drama,Short"
"67","tt0001452","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","What the Daisy Said","1910","Romance,Short"
"68","tt0001454","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","When We Were in Our Teens","1910","Comedy,Short"
"69","tt0001456","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","White Roses","1910","Comedy,Romance,Short"
"70","tt0001458","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Wilful Peggy","1910","Comedy,Romance,Short"
"71","tt0001460","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Woman from Mellon's","1910","Drama,Short"
"72","tt0001466","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","'Tween Two Loves","1911","Drama,Romance,Short"
"73","tt0001481","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Artful Kate","1911","Drama,Short"
"74","tt0001483","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","At a Quarter of Two","1911","Drama,Short"
"75","tt0001485","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","At the Duke's Command","1911","Drama,Romance,Short"
"76","tt0001491","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Back to the Soil","1911","Drama,Short"
"77","tt0001499","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","The Battle","1911","Action,Drama,Short"
"78","tt0001501","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Behind the Stockade","1911","Drama,Short"
"79","tt0001503","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Better Way","1911","Drama,Short"
"80","tt0001526","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Call of the Song","1911","Drama,Romance,Short"
"81","tt0001559","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Courting of Mary","1911","Comedy,Short"
"82","tt0001569","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"movie","The Daddy's Dream","1911","\N"
"83","tt0001577","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Decree of Destiny","1911","Drama,Romance,Short"
"84","tt0001586","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"movie","A Dog's Tale","1911","\N"
"85","tt0001588","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Dream","1911","Drama,Short"
"86","tt0001599","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Fair Dentist","1911","Comedy,Short"
"87","tt0001616","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Fisher-Maid","1911","Drama,Short"
"88","tt0001621","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","For Her Brother's Sake","1911","Drama,Short"
"89","tt0001623","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","For the Queen's Honor","1911","Drama,Short"
"90","tt0001634","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","From the Bottom of the Sea","1911","Drama,Short"
"91","tt0001637","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Gasoline Engagement","1911","Comedy,Short"
"92","tt0001661","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Her Darkest Hour","1911","Drama,Short"
"93","tt0001672","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","His Dress Shirt","1911","Comedy,Short"
"94","tt0001685","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Honor Thy Father","1912","Drama,Short"
"95","tt0001686","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","By the House That Jack Built","1911","Drama,Fantasy,Short"
"96","tt0001695","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","In Old Madrid","1911","Comedy,Romance,Short"
"97","tt0001700","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","In the Sultan's Garden","1911","Drama,Short"
"98","tt0001709","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Italian Barber","1911","Comedy,Short"
"99","tt0001732","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Lighthouse Keeper","1911","Drama,Short"
"100","tt0001736","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Little Nell's Tobacco","1910","Drama,Short"
"101","tt0001738","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Little Red Riding Hood","1911","Fantasy,Short"
"102","tt0001749","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Love Heeds Not Showers","1911","Comedy,Short"
"103","tt0001767","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Maid or Man","1911","Drama,Short"
"104","tt0001772","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Manly Man","1911","Drama,Short"
"105","tt0001774","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Master and the Man","1911","Crime,Drama,Short"
"106","tt0001779","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Message in the Bottle","1911","Drama,Short"
"107","tt0001787","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Mirror","1911","Comedy,Short"
"108","tt0001789","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","The Miser's Heart","1911","Crime,Drama,Short"
"109","tt0001874","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Science","1911","Drama,Short"
"110","tt0001875","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Second Sight","1911","Drama,Short"
"111","tt0001876","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Sentinel Asleep","1911","Drama,Short"
"112","tt0001887","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Skating Bug","1911","Comedy,Short"
"113","tt0001899","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Stampede","1911","Short,Western"
"114","tt0001910","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Sweet Memories","1911","Drama,Romance,Short"
"115","tt0001923","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Their First Misunderstanding","1911","Drama,Short"
"116","tt0001927","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Three Sisters","1911","Drama,Romance,Short"
"117","tt0001934","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Toss of a Coin","1911","Comedy,Romance,Short"
"118","tt0001978","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","When a Man Loves","1911","Drama,Romance,Short"
"119","tt0001980","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","When the Cat's Away","1911","Comedy,Short"
"120","tt0002054","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Beast at Bay","1912","Drama,Short"
"121","tt0002078","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","Brutality","1912","Drama,Short"
"122","tt0002082","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","The Burglar's Dilemma","1912","Drama,Short"
"123","tt0002095","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","The Chief's Blanket","1912","Short,Western"
"124","tt0002121","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","A Cry for Help","1912","Drama,Short"
"125","tt0002172","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Fate's Interception","1912","Romance,Short"
"126","tt0002176","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Female of the Species","1912","Drama,Short"
"127","tt0002177","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","A Feud in the Kentucky Hills","1912","Romance,Short"
"128","tt0002197","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","Friends","1912","Romance,Short,Western"
"129","tt0002197","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Friends","1912","Romance,Short,Western"
"130","tt0002212","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","The God Within","1912","Drama,Short"
"131","tt0002216","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","Gold and Glitter","1912","Drama,Short"
"132","tt0002220","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"movie","Grannie","1912","\N"
"133","tt0002241","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","Heredity","1912","Drama,Short"
"134","tt0002253","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Home Folks","1912","Drama,Short"
"135","tt0002273","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","An Indian Summer","1912","Romance,Short"
"136","tt0002277","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Informer","1912","Drama,Short"
"137","tt0002278","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Inner Circle","1912","Drama,Short"
"138","tt0002282","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Iola's Promise","1912","Romance,Short"
