nconst,name,category,actbirthplace,actbirthyear,tconst,movietitle,movieyear,titletype,genres
nm0004778,Adrien Brody,actor,New York,1973,tt13434730,The Salamander Lives Twice,,movie,Thriller
nm0004778,Adrien Brody,actor,New York,1973,tt2503792,Expiration,,movie,"Action,Thriller"
nm0004778,Adrien Brody,actor,New York,1973,tt11909632,Episode #1.7,,tvEpisode,"Drama,Horror,Mystery"
nm0004778,Adrien Brody,actor,New York,1973,tt9013340,El Tonto,,movie,Comedy
nm0004778,Adrien Brody,actor,New York,1973,tt11909628,Episode #1.5,,tvEpisode,"Drama,Horror,Mystery"
nm0004778,Adrien Brody,actor,New York,1973,tt11909626,Episode #1.4,,tvEpisode,"Drama,Horror,Mystery"
nm0004778,Adrien Brody,actor,New York,1973,tt11909640,Episode #1.10,,tvEpisode,"Drama,Horror,Mystery"
nm0004778,Adrien Brody,actor,New York,1973,tt14813150,Manodrome,,movie,\N
nm0004778,Adrien Brody,actor,New York,1973,tt11909636,Episode #1.9,,tvEpisode,"Drama,Horror,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt0655920,Deadly Circle of Violence,1968,tvEpisode,"Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0067549,The Panic in Needle Park,1971,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt0068646,The Godfather,1972,movie,"Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0070643,Scarecrow,1973,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt0070666,Serpico,1973,movie,"Biography,Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0071562,The Godfather: Part II,1974,movie,"Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0072890,Dog Day Afternoon,1975,movie,"Biography,Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt1295453,Episode #1.4,1977,tvEpisode,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt1295452,Episode #1.3,1977,tvEpisode,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0809488,The Godfather Saga,1977,tvMiniSeries,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt1295451,Episode #1.2,1977,tvEpisode,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt1295450,Episode #1.1,1977,tvEpisode,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0075774,Bobby Deerfield,1977,movie,"Drama,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt0078718,And Justice for All,1979,movie,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0080569,Cruising,1980,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt0083598,Author! Author!,1982,movie,"Comedy,Drama,Family"
nm0000199,Al Pacino,actor,New York,1940,tt0086250,Scarface,1983,movie,"Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0089913,Revolution,1985,movie,"Adventure,Drama,History"
nm0000199,Al Pacino,actor,New York,1940,tt0098273,Sea of Love,1989,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt0099422,Dick Tracy,1990,movie,"Action,Comedy,Crime"
nm0000199,Al Pacino,actor,New York,1940,tt0097769,The Local Stigmatic,1990,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt0099674,The Godfather: Part III,1990,movie,"Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0101912,Frankie and Johnny,1991,movie,"Comedy,Drama,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt0105323,Scent of a Woman,1992,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt0104348,Glengarry Glen Ross,1992,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt2739490,The Making of 'Scent of a Woman',1992,short,"Documentary,Short"
nm0000199,Al Pacino,actor,New York,1940,tt0106519,Carlito's Way,1993,movie,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0113277,Heat,1995,movie,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0114753,Two Bits,1995,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt0115907,City Hall,1996,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt0118971,The Devil's Advocate,1997,movie,"Drama,Mystery,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0119008,Donnie Brasco,1997,movie,"Biography,Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0146838,Any Given Sunday,1999,movie,"Drama,Sport"
nm0000199,Al Pacino,actor,New York,1940,tt0140352,The Insider,1999,movie,"Biography,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0118852,Chinese Coffee,2000,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt0278504,Insomnia,2002,movie,"Drama,Mystery,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt0258153,S1m0ne,2002,movie,"Comedy,Drama,Sci-Fi"
nm0000199,Al Pacino,actor,New York,1940,tt0274711,People I Know,2002,movie,"Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0292506,The Recruit,2003,movie,"Action,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt1037264,Millennium Approaches: Bad News,2003,tvEpisode,"Drama,Fantasy,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt5811446,Perestroika: Stop Moving!,2003,tvEpisode,"Drama,Fantasy,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt5811488,Perestroika: Beyond Nelly,2003,tvEpisode,"Drama,Fantasy,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt1038222,"Perestroika: Heaven, I'm in Heaven",2003,tvEpisode,"Drama,Fantasy,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt0318997,Angels in America,2003,tvMiniSeries,"Drama,Fantasy,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt6782588,Millennium Approaches: In Vitro,2003,tvEpisode,"Drama,Fantasy,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt0379889,The Merchant of Venice,2004,movie,"Drama,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt0417217,Two for the Money,2005,movie,"Crime,Drama,Sport"
nm0000199,Al Pacino,actor,New York,1940,tt0411061,88 Minutes,2007,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt1034331,Righteous Kill,2008,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt1132623,You Don't Know Jack,2010,tvMovie,"Biography,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt1535612,The Son of No One,2011,movie,"Action,Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt0810913,Jack and Jill,2011,movie,Comedy
nm0000199,Al Pacino,actor,New York,1940,tt1389096,Stand Up Guys,2012,movie,"Comedy,Crime,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt1745862,Phil Spector,2013,tvMovie,"Biography,Drama,Music"
nm0000199,Al Pacino,actor,New York,1940,tt2893490,Manglehorn,2014,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt1568343,The Humbling,2014,movie,"Comedy,Drama,Romance"
nm0000199,Al Pacino,actor,New York,1940,tt1772288,Danny Collins,2015,movie,"Biography,Comedy,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt3658772,Misconduct,2016,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt3011960,Hangman,2017,movie,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt5126922,The Pirates of Somalia,2017,movie,"Biography,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt2388986,Paterno,2018,tvMovie,"Biography,Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt1302006,The Irishman,2019,movie,"Biography,Crime,Drama"
nm0000199,Al Pacino,actor,New York,1940,tt7456722,Hunters,2020,tvSeries,"Crime,Drama,Mystery"
nm0000199,Al Pacino,actor,New York,1940,tt11214590,House of Gucci,2021,movie,"Crime,Drama,Thriller"
nm0000199,Al Pacino,actor,New York,1940,tt7050946,American Traitor: The Trial of Axis Sally,2021,movie,Drama
nm0000199,Al Pacino,actor,New York,1940,tt1371129,King Lear,,movie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0040662,Oliver Twist,1948,movie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0041546,Kind Hearts and Coronets,1949,movie,"Comedy,Crime"
nm0000027,Alec Guinness,actor,England,1914,tt0041831,A Run for Your Money,1949,movie,Comedy
nm0000027,Alec Guinness,actor,England,1914,tt0042665,Last Holiday,1950,movie,"Comedy,Drama,Romance"
nm0000027,Alec Guinness,actor,England,1914,tt0042757,The Mudlark,1950,movie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0044876,The Man in the White Suit,1951,movie,"Comedy,Drama,Sci-Fi"
nm0000027,Alec Guinness,actor,England,1914,tt0044829,The Lavender Hill Mob,1951,movie,"Comedy,Crime"
nm0000027,Alec Guinness,actor,England,1914,tt0045056,The Promoter,1952,movie,Comedy
nm0000027,Alec Guinness,actor,England,1914,tt0046357,The Square Mile,1953,short,"Documentary,Short"
nm0000027,Alec Guinness,actor,England,1914,tt0045607,The Captain's Paradise,1953,movie,"Comedy,Romance"
nm0000027,Alec Guinness,actor,England,1914,tt0046029,Malta Story,1953,movie,"Drama,History,War"
nm0000027,Alec Guinness,actor,England,1914,tt0046970,The Detective,1954,movie,"Comedy,Crime,Drama"
nm0000027,Alec Guinness,actor,England,1914,tt0048281,The Ladykillers,1955,movie,"Comedy,Crime"
nm0000027,Alec Guinness,actor,England,1914,tt0048568,Rowlandson's England,1955,short,"Documentary,Short"
nm0000027,Alec Guinness,actor,England,1914,tt0048512,The Prisoner,1955,movie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0048730,To Paris with Love,1955,movie,"Comedy,Drama,Romance"
nm0000027,Alec Guinness,actor,England,1914,tt0321366,Baker's Dozen,1955,tvMovie,\N
nm0000027,Alec Guinness,actor,England,1914,tt0049815,The Swan,1956,movie,"Comedy,Drama,Romance"
nm0000027,Alec Guinness,actor,England,1914,tt0050212,The Bridge on the River Kwai,1957,movie,"Adventure,Drama,War"
nm0000027,Alec Guinness,actor,England,1914,tt0050168,All at Sea,1957,movie,Comedy
nm0000027,Alec Guinness,actor,England,1914,tt0051739,The Horse's Mouth,1958,movie,Comedy
nm0000027,Alec Guinness,actor,England,1914,tt0053247,The Scapegoat,1959,movie,"Crime,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0324553,The Wicked Scheme of Jebal Deeks,1959,tvEpisode,"Comedy,Drama,Musical"
nm0000027,Alec Guinness,actor,England,1914,tt0054152,Our Man in Havana,1959,movie,"Comedy,Crime,Drama"
nm0000027,Alec Guinness,actor,England,1914,tt0054412,Tunes of Glory,1960,movie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0055124,A Majority of One,1961,movie,"Comedy,Drama,Family"
nm0000027,Alec Guinness,actor,England,1914,tt0056172,Lawrence of Arabia,1962,movie,"Adventure,Biography,Drama"
nm0000027,Alec Guinness,actor,England,1914,tt0055884,Damn the Defiant!,1962,movie,"Action,Drama,History"
nm0000027,Alec Guinness,actor,England,1914,tt0058085,The Fall of the Roman Empire,1964,movie,"Drama,History,War"
nm0000027,Alec Guinness,actor,England,1914,tt0059724,Situation Hopeless -- But Not Serious,1965,movie,"Comedy,War"
nm0000027,Alec Guinness,actor,England,1914,tt0060880,The Quiller Memorandum,1966,movie,"Crime,Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt0060520,Hotel Paradiso,1966,movie,Comedy
nm0000027,Alec Guinness,actor,England,1914,tt0061502,The Comedians,1967,movie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0064184,Conversation at Night,1969,tvEpisode,"Crime,Drama"
nm0000027,Alec Guinness,actor,England,1914,tt0066344,Scrooge,1970,movie,"Drama,Family,Fantasy"
nm0000027,Alec Guinness,actor,England,1914,tt0065593,Cromwell,1970,movie,"Biography,Drama,History"
nm0000027,Alec Guinness,actor,England,1914,tt0125569,Twelfth Night,1970,tvEpisode,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0070184,Hitler: The Last Ten Days,1973,movie,"Biography,Drama,History"
nm0000027,Alec Guinness,actor,England,1914,tt0071551,The Gift of Friendship,1974,tvEpisode,"Comedy,Drama"
nm0000027,Alec Guinness,actor,England,1914,tt0074264,Caesar and Cleopatra,1976,tvMovie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0074937,Murder by Death,1976,movie,"Comedy,Crime,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt0076759,Star Wars: Episode IV - A New Hope,1977,movie,"Action,Adventure,Fantasy"
nm0000027,Alec Guinness,actor,England,1914,tt0967872,How It All Fits Together,1979,tvEpisode,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0967874,Smiley Sets a Trap,1979,tvEpisode,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0080297,Tinker Tailor Soldier Spy,1979,tvMiniSeries,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0967871,Flushing Out the Mole,1979,tvEpisode,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0967876,Tarr Tells His Story,1979,tvEpisode,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0967875,Smiley Tracks the Mole,1979,tvEpisode,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0967873,Return to the Circus,1979,tvEpisode,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0967877,Tinker Tailor,1979,tvEpisode,"Drama,Mystery,Thriller"
nm0000027,Alec Guinness,actor,England,1914,tt0081062,Little Lord Fauntleroy,1980,tvMovie,"Drama,Family,Romance"
nm0000027,Alec Guinness,actor,England,1914,tt1074422,Episode #1.3,1982,tvEpisode,"Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt0083480,Smiley's People,1982,tvMiniSeries,"Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt1074423,Episode #1.4,1982,tvEpisode,"Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt1074425,Episode #1.6,1982,tvEpisode,"Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt1074420,Episode #1.1,1982,tvEpisode,"Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt1074421,Episode #1.2,1982,tvEpisode,"Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt1074424,Episode #1.5,1982,tvEpisode,"Drama,Mystery"
nm0000027,Alec Guinness,actor,England,1914,tt0085873,Lovesick,1983,movie,"Comedy,Fantasy,Romance"
nm0000027,Alec Guinness,actor,England,1914,tt0087192,Edwin,1984,tvMovie,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0089616,Monsignor Quixote,1987,tvEpisode,Drama
nm0000027,Alec Guinness,actor,England,1914,tt0095530,Little Dorrit,1987,movie,"Drama,Romance"
nm0000027,Alec Guinness,actor,England,1914,tt0106948,A Foreign Field,1993,tvEpisode,"Comedy,Crime,Drama"
nm0000027,Alec Guinness,actor,England,1914,tt8933914,Star Wars: Episode IV: A New Hope - Deleted Scenes,2011,video,"Action,Drama,Sci-Fi"
nm0000027,Alec Guinness,actor,England,1914,tt8924990,Star Wars: Episode V - The Empire Strikes Back: Deleted Scenes,2011,video,"Action,Drama,Sci-Fi"
nm0536167,Anna Magnani,actress,Italy,1908,tt0024979,The Blind Woman of Sorrento,1934,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0034268,"Doctor, Beware",1941,movie,"Comedy,Drama,Romance"
nm0536167,Anna Magnani,actress,Italy,1908,tt0033640,La fuggitiva,1941,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0034750,La fortuna viene dal cielo,1942,movie,"Comedy,Romance"
nm0536167,Anna Magnani,actress,Italy,1908,tt0033604,Finalmente soli,1942,movie,Comedy
nm0536167,Anna Magnani,actress,Italy,1908,tt0036502,La vita ÃÂÃÂ¨ bella,1943,movie,Comedy
nm0536167,Anna Magnani,actress,Italy,1908,tt0036470,The Last Wagon,1943,movie,Comedy
nm0536167,Anna Magnani,actress,Italy,1908,tt0039741,Quartetto pazzo,1945,movie,\N
nm0536167,Anna Magnani,actress,Italy,1908,tt0037491,Down with Misery,1945,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0038890,"Rome, Open City",1945,movie,"Drama,Thriller,War"
nm0536167,Anna Magnani,actress,Italy,1908,tt0038443,Before Him All Rome Trembled,1946,movie,"Drama,War"
nm0536167,Anna Magnani,actress,Italy,1908,tt0039072,Revenge,1946,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0038281,Peddlin' in Society,1946,movie,"Comedy,Drama"
nm0536167,Anna Magnani,actress,Italy,1908,tt0038327,The Bandit,1946,movie,"Crime,Drama"
nm0536167,Anna Magnani,actress,Italy,1908,tt0039682,Angelina,1947,movie,"Comedy,Drama"
nm0536167,Anna Magnani,actress,Italy,1908,tt0040092,L'amore,1948,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0040602,Woman Trouble,1948,movie,Comedy
nm0536167,Anna Magnani,actress,Italy,1908,tt0038914,Unknown Men of San Marino,1948,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0039163,Scarred,1948,movie,"Drama,Romance"
nm0536167,Anna Magnani,actress,Italy,1908,tt5508084,The Ways of Love,1950,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0042030,Vulcano,1950,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0043332,Beautiful,1951,movie,"Comedy,Drama"
nm0536167,Anna Magnani,actress,Italy,1908,tt0044487,The Golden Coach,1952,movie,"Comedy,Drama,History"
nm0536167,Anna Magnani,actress,Italy,1908,tt0044467,Anita Garibaldi,1952,movie,"Drama,History"
nm0536167,Anna Magnani,actress,Italy,1908,tt0046309,Siamo donne,1953,movie,"Comedy,Drama"
nm0536167,Anna Magnani,actress,Italy,1908,tt0048563,The Rose Tattoo,1955,movie,"Comedy,Drama,Romance"
nm0536167,Anna Magnani,actress,Italy,1908,tt0051029,The Awakening,1956,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0051193,Wild Is the Wind,1957,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0051986,...and the Wild Wild Women,1959,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0052832,The Fugitive Kind,1960,movie,"Drama,Romance"
nm0536167,Anna Magnani,actress,Italy,1908,tt0054242,The Passionate Thief,1960,movie,"Comedy,Drama"
nm0536167,Anna Magnani,actress,Italy,1908,tt0056215,Mamma Roma,1962,movie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0154813,Josefa's Loot,1963,movie,Comedy
nm0536167,Anna Magnani,actress,Italy,1908,tt0064952,The Secret of Santa Vittoria,1969,movie,"Comedy,Drama,War"
nm0536167,Anna Magnani,actress,Italy,1908,tt0237011,The Automobile,1971,tvMovie,"Comedy,Drama"
nm0536167,Anna Magnani,actress,Italy,1908,tt0286051,Tre donne - La sciantosa,1971,tvMovie,"Drama,War"
nm0536167,Anna Magnani,actress,Italy,1908,tt0185135,Tre donne - 1943: Un incontro,1971,tvMovie,Drama
nm0536167,Anna Magnani,actress,Italy,1908,tt0066948,1870,1972,tvMovie,"Drama,History"
nm0000843,Anne Bancroft,actress,New York,1931,tt0712609,Torrents of Spring,1950,tvEpisode,Drama
nm0000843,Anne Bancroft,actress,New York,1931,tt0712312,Letter from Cairo,1950,tvEpisode,Drama
nm0000843,Anne Bancroft,actress,New York,1931,tt0637645,A Child Is Born,1950,tvEpisode,"Comedy,Drama"
nm0000843,Anne Bancroft,actress,New York,1931,tt0554049,The Killer Scarf,1951,tvEpisode,Drama
nm0000843,Anne Bancroft,actress,New York,1931,tt0713970,Night Break,1951,tvEpisode,"Drama,Mystery,Thriller"
